Snail_ID,Shell_Width_mm,Shell_Height_mm,Initial_Blotted_Wet_Mass_g,Final_Blotted_Wet_Mass_g,Organism_Volume_mL,Experiment_Start_Date,Experiment_End_Date,Mortality
1,20.94,18.53,4.219,4.7775,3.5,8/16/22,9/2/22,
2,22.23,19.43,5.146,5.2827,4,8/16/22,9/2/22,
3,22.21,20.33,4.381,5.2423,3.5,8/16/22,9/2/22,
4,22.3,19.75,5.041,5.6358,4,8/16/22,9/2/22,
Control-05,0,0,0,0,0,8/16/22,9/2/22,
6,20.09,18.04,3.977,4.256,4.5,8/16/22,9/2/22,
7,19.93,13.71,4.094,4.6785,3,8/16/22,9/2/22,
8,21.09,18.68,4.258,4.7144,3,8/16/22,9/2/22,
9,20.66,18.95,5.112,5.9633,4,8/16/22,9/2/22,
Control-10,0,0,0,0,0,8/16/22,9/2/22,
11,19.96,19.28,3.859,4.2886,2.5,8/16/22,9/2/22,
12,21.68,21.55,5.193,5.6955,3,8/16/22,9/2/22,
13,20.91,18.12,4.48,5.169,3,8/16/22,9/2/22,
14,21.13,20.52,4.545,5.2694,4,8/16/22,9/2/22,
Control-15,0,0,0,0,0,8/16/22,9/2/22,
16,21.27,21.11,4.45,4.9831,3,8/16/22,9/2/22,
17,21.94,21.82,4.747,5.5286,3,8/16/22,9/2/22,
18,22.04,22.84,5.137,5.7439,3.5,8/16/22,9/2/22,
19,20.93,22.06,4.562,4.9827,3,8/16/22,9/2/22,
Control-20,0,0,0,0,0,8/16/22,9/2/22,
21,21.31,19.58,4.482,5.2297,3,8/16/22,9/2/22,
22,20.12,18.75,3.634,3.9327,2.5,8/16/22,9/2/22,
23,19.33,19.64,3.873,4.3538,3,8/16/22,9/2/22,
24,20.31,19,4.038,4.3352,2.5,8/16/22,9/2/22,
Control-25,0,0,0,0,0,8/16/22,9/2/22,
26,20.98,20.27,4.791,4.9635,3,8/16/22,9/2/22,
27,21.48,20.33,4.57,5.0849,3,8/16/22,9/2/22,
28,22.18,22.05,5.53,6.0681,4.5,8/16/22,9/2/22,
29,21.6,20.39,4.463,5.0393,3,8/16/22,9/2/22,
Control-30,0,0,0,0,0,8/16/22,9/2/22,
31,19.13,19.36,4.487,4.9874,3,8/16/22,9/2/22,
32,19.63,16.94,3.629,3.8534,2.5,8/16/22,9/2/22,
33,20.7,20.73,4.994,4.9758,3.5,8/16/22,9/2/22,
34,22.47,19.71,5.221,5.559,4,8/16/22,9/2/22,
Control-35,0,0,0,0,0,8/16/22,9/2/22,
36,20.36,19.38,4.637,5.107,4,8/16/22,9/2/22,Mortality
37,21.05,18.43,4.329,4.818,3,8/16/22,9/2/22,Mortality
38,21.12,19.36,4.307,4.0473,3,8/16/22,9/2/22,
39,19.7,16.96,3.394,3.8284,2.5,8/16/22,9/2/22,
Control-40,0,0,0,0,0,8/16/22,9/2/22,
41,21.34,19.14,4.576,4.9325,3,8/16/22,9/2/22,
42,22.07,19.81,5.668,6.0854,4,8/16/22,9/2/22,
43,21.59,15.23,5.396,5.7831,3.5,8/16/22,9/2/22,
44,21.23,19.48,4.564,4.9035,3.5,8/16/22,9/2/22,
Control-45,0,0,0,0,0,8/16/22,9/2/22,
46,21.79,18.51,5.183,5.7143,4,8/16/22,9/2/22,
47,20.39,21.43,4.563,4.9385,3,8/16/22,9/2/22,
48,20.43,18.48,3.932,4.1575,3,8/16/22,9/2/22,
49,21.6,20.71,4.741,5.3722,3.5,8/16/22,9/2/22,
Control-50,0,0,0,0,0,8/16/22,9/2/22,organism 50 replaced organism 74 when mortality occured
51,20.97,20.56,5.389,5.7583,3.5,8/16/22,9/2/22,
52,21.07,17.27,5.202,5.7894,3,8/16/22,9/2/22,
53,19.72,19.84,4.7,5.2136,3,8/16/22,9/2/22,
54,21.38,18.26,4.847,5.5494,3.5,8/16/22,9/2/22,
Control-55,0,0,0,0,0,8/16/22,9/2/22,organism 55 replaced organism 56 when mortality occured
55,21.36,19.53,5.225,5.6593,3,8/16/22,9/2/22,Mortality
57,20.4,18.53,3.566,4.2749,2.5,8/16/22,9/2/22,
58,21.46,19.46,4.966,5.4097,3.5,8/16/22,9/2/22,
59,22.01,21.55,5.431,5.8977,3.5,8/16/22,9/2/22,
Control-60,0,0,0,0,0,8/16/22,9/2/22,organism 60 replaced organism 78 when mortality occured
61,19.9,18.6,3.701,3.8821,2.5,8/16/22,9/2/22,
62,21.06,19.8,4.508,5.018,3,8/16/22,9/2/22,
63,21.26,19.44,4.233,4.7297,3,8/16/22,9/2/22,
64,21.3,20.45,4.874,5.3717,3.5,8/16/22,9/2/22,
Control-65,0,0,0,0,0,8/16/22,9/2/22,organism 65 replaced organism 71 when mortality occured
66,20.06,18.34,4.056,4.502,3,8/16/22,9/2/22,
67,20.38,16.96,3.81,4.21,2.5,8/16/22,9/2/22,
68,21.05,22.1,5.043,5.1763,3,8/16/22,9/2/22,
69,19.65,18.88,4.35,4.6683,3,8/16/22,9/2/22,
Control-70,0,0,0,0,0,8/16/22,9/2/22,organism 70 replaced organism 79 when mortality occured
65,21.03,16.94,4.299,4.4832,3,8/16/22,9/2/22,Mortality
72,21.53,17.43,4.478,4.996,3.5,8/16/22,9/2/22,
73,20.51,14.59,4.299,4.9279,3,8/16/22,9/2/22,
50,20.47,19.35,4.584,5.0858,3,8/16/22,9/2/22,Mortality
Control-75,0,0,0,0,0,8/16/22,9/2/22,organism 75 replaced organism 76 when mortality occured
75,19.81,17.41,3.688,3.9459,3,8/16/22,9/2/22,Mortality
77,20.21,18.59,4.094,4.4719,2.5,8/16/22,9/2/22,
60,20.86,20.42,4.443,5.0146,3,8/16/22,9/2/22,Mortality
70,21.65,22.22,5.252,5.6883,3,8/16/22,9/2/22,Mortality
Control-80,0,0,0,0,0,8/16/22,9/2/22,